seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr7	116964231	116964262	32	*	X417	7472	116916686	116963343	46658	-	887	upstream	887	WNT2
chr7	121945731	121945743	13	*	X418	389549	121941448	121944565	3118	-	1165	upstream	1165	FEZF1
chr7	137531700	137531895	196	*	X425	9162	137074385	137531609	457225	-	90	upstream	90	DGKI
chr7	140772238	140772375	138	*	X429	100507421	140774032	141180179	406148	+	1656	upstream	1656	TMEM178B
chr7	150865268	150865382	115	*	X431	2636	150845676	150864867	19192	-	400	upstream	400	GBX1
chr7	150865529	150865564	36	*	X432	2636	150845676	150864867	19192	-	661	upstream	661	GBX1
chr7	150974289	150974582	294	*	X433	6604	150936059	150974231	38173	-	57	upstream	57	SMARCD3
chr7	151107422	151107684	263	*	X434	349136	151078207	151107740	29534	-	0	inside	55	WDR86
chr7	151107808	151107955	148	*	X435	349136	151078207	151107740	29534	-	67	upstream	67	WDR86
chr7	151572598	151572774	177	*	X436	100505483	151574127	151576308	2182	+	1352	upstream	1352	PRKAG2-AS1
chr7	151572860	151572904	45	*	X437	100505483	151574127	151576308	2182	+	1222	upstream	1222	PRKAG2-AS1
chr7	155604849	155604920	72	*	X442	6469	155592736	155604967	12232	-	0	inside	46	SHH
chr8	22408644	22408864	221	*	X448	10174	22409251	22433008	23758	+	386	upstream	386	SORBS3
chr8	54164002	54164035	34	*	X455	4986	54138276	54164194	25919	-	0	inside	158	OPRK1
chr8	67874397	67874551	155	*	X458	100129654	67858736	67874825	16090	-	0	inside	273	TCF24
chr8	72274059	72274347	289	*	X459	2138	72109668	72274467	164800	-	0	inside	119	EYA1
chr8	75234122	75234250	129	*	X460	56704	75146939	75233562	86624	-	559	upstream	559	JPH1
chr8	89339666	89339696	31	*	X465	4325	89049460	89339717	290258	-	0	inside	20	MMP16
chr8	99076691	99076745	55	*	X466	203111	99076750	99105838	29089	+	4	upstream	4	ERICH5
chr8	99076765	99076833	69	*	X467	203111	99076750	99105838	29089	+	0	inside	14	ERICH5
chr8	99076878	99076899	22	*	X468	203111	99076750	99105838	29089	+	0	inside	127	ERICH5
chr9	21559156	21559427	272	*	X486	554202	21454267	21559697	105431	-	0	inside	269	MIR31HG
chr9	21560031	21560042	12	*	X487	554202	21454267	21559697	105431	-	333	upstream	333	MIR31HG
chr9	33523369	33523518	150	*	X488	441459	33524411	33573001	48591	+	892	upstream	892	ANKRD18B
chr9	35673772	35673800	29	*	X489	768	35673915	35681154	7240	+	114	upstream	114	CA9
chr9	74061387	74061600	214	*	X491	80036	73149966	74061820	911855	-	0	inside	219	TRPM3
chr9	79521530	79521561	32	*	X492	158471	79226292	79521003	294712	-	526	upstream	526	PRUNE2
chr9	90341109	90341246	138	*	X493	1514	90340974	90346384	5411	+	0	inside	134	CTSL
chr9	92219397	92219484	88	*	X494	10912	92219927	92221469	1543	+	442	upstream	442	GADD45G
chr9	92219865	92219875	11	*	X495	10912	92219927	92221469	1543	+	51	upstream	51	GADD45G
chr9	93405334	93405364	31	*	X496	54769	93372114	93405108	32995	-	225	upstream	225	DIRAS2
chr9	93405399	93405449	51	*	X497	54769	93372114	93405108	32995	-	290	upstream	290	DIRAS2
chr9	94903716	94903782	67	*	X499	158314	94903749	94921890	18142	+	0	overlapStart	0	LINC00475
chr9	95571133	95571145	13	*	X500	138649	95571893	95650975	79083	+	747	upstream	747	ANKRD19P
chr9	95571367	95571388	22	*	X501	138649	95571893	95650975	79083	+	504	upstream	504	ANKRD19P
chr9	95571401	95571546	146	*	X502	138649	95571893	95650975	79083	+	346	upstream	346	ANKRD19P
chr9	98279273	98279285	13	*	X503	5727	98205264	98279247	73984	-	25	upstream	25	PTCH1
chr9	98279443	98279463	21	*	X504	5727	98205264	98279247	73984	-	195	upstream	195	PTCH1
chr9	100000682	100000800	119	*	X505	100499484	100000708	100059596	58889	+	0	overlapStart	0	SUGT1P4-STRA6LP
chr9	100000682	100000800	119	*	X505	57653	100000708	100139577	138870	+	0	overlapStart	0	SUGT1P4-STRA6LP-CCDC180
chr9	112262370	112262399	30	*	X508	5774	112137974	112260593	122620	-	1776	upstream	1776	PTPN3
chr9	115653172	115653387	216	*	X509	57864	115641200	115653193	11994	-	0	overlapStart	0	SLC46A2
chr9	133814319	133814619	301	*	X514	84929	133777825	133814455	36631	-	0	overlapStart	0	FIBCD1
chr9	133971646	133971685	40	*	X515	83543	133971863	133998539	26677	+	177	upstream	177	AIF1L
chr9	139940589	139940633	45	*	X518	56654	139933909	139940676	6768	-	0	inside	42	NPDC1
chr10	5708639	5708644	6	*	X521	79754	5680820	5708558	27739	-	80	upstream	80	ASB13
chr10	5708689	5708702	14	*	X522	79754	5680820	5708558	27739	-	130	upstream	130	ASB13
chr10	5708757	5708813	57	*	X523	79754	5680820	5708558	27739	-	198	upstream	198	ASB13
chr10	5708918	5708995	78	*	X524	79754	5680820	5708558	27739	-	359	upstream	359	ASB13
chr10	25464163	25464219	57	*	X528	57512	25464290	25891157	426868	+	70	upstream	70	GPR158
chr10	28034578	28034673	96	*	X530	283078	27961803	28034778	72976	-	0	inside	104	MKX
chr10	29698325	29698340	16	*	X531	387647	29698483	29776785	78303	+	142	upstream	142	PTCHD3P1
chr10	29698352	29698460	109	*	X532	387647	29698483	29776785	78303	+	22	upstream	22	PTCHD3P1
chr10	54073815	54073816	2	*	X535	100506939	54056608	54073888	17281	-	0	inside	71	PRKG1-AS1
chr10	54073815	54073816	2	*	X535	22943	54074041	54077417	3377	+	224	upstream	224	DKK1
chr10	54073983	54074036	54	*	X536	100506939	54056608	54073888	17281	-	94	upstream	94	PRKG1-AS1
chr10	54073983	54074036	54	*	X536	22943	54074041	54077417	3377	+	4	upstream	4	DKK1
chr10	54074052	54074103	52	*	X537	100506939	54056608	54073888	17281	-	163	upstream	163	PRKG1-AS1
chr10	54074052	54074103	52	*	X537	22943	54074041	54077417	3377	+	0	inside	10	DKK1
chr10	54074569	54074698	130	*	X538	100506939	54056608	54073888	17281	-	680	upstream	680	PRKG1-AS1
chr10	61122265	61122456	192	*	X539	220965	61005889	61122661	116773	-	0	inside	204	FAM13C
chr10	70320032	70320057	26	*	X541	80312	70320117	70454239	134123	+	59	upstream	59	TET1
chr10	90967566	90967638	73	*	X543	9023	90965694	90967071	1378	-	494	upstream	494	CH25H
chr10	93392749	93393027	279	*	X544	5507	93388197	93392858	4662	-	0	overlapStart	0	PPP1R3C
chr10	94831858	94831883	26	*	X546	1592	94833232	94837641	4410	+	1348	upstream	1348	CYP26A1
chr10	99790845	99790845	1	*	X547	55118	99624757	99790585	165829	-	259	upstream	259	CRTAC1
chr11	10326592	10326615	24	*	X566	133	10326642	10328923	2282	+	26	upstream	26	ADM
chr11	13983991	13984188	198	*	X568	10418	13984184	14289679	305496	+	0	overlapStart	0	SPON1
chr11	36615941	36616124	184	*	X570	119710	36616043	36696390	80348	+	0	overlapStart	0	IFTAP
chr11	65553760	65553854	95	*	X573	5017	65554505	65564690	10186	+	650	upstream	650	OVOL1
chr11	75141597	75141799	203	*	X578	283212	75133438	75141674	8237	-	0	overlapStart	0	KLHL35
chr11	75380092	75380223	132	*	X579	4135	75297963	75379479	81517	-	612	upstream	612	MAP6
chr11	106889388	106889510	123	*	X584	2977	106544738	106889171	344434	-	216	upstream	216	GUCY1A2
chr11	106889928	106890035	108	*	X585	2977	106544738	106889171	344434	-	756	upstream	756	GUCY1A2
chr11	107461735	107461779	45	*	X586	55531	107461817	107537505	75689	+	37	upstream	37	ELMOD1
chr11	107461735	107461779	45	*	X586	643923	107462471	107463949	1479	+	691	upstream	691	NA
chr11	107462102	107462117	16	*	X587	55531	107461817	107537505	75689	+	0	inside	284	ELMOD1
chr11	107462102	107462117	16	*	X587	643923	107462471	107463949	1479	+	353	upstream	353	NA
chr11	110583599	110583755	157	*	X589	57569	110447759	110583912	136154	-	0	inside	156	ARHGAP20
chr11	112831936	112832063	128	*	X590	4684	112831969	113149158	317190	+	0	overlapStart	0	NCAM1
chr11	128760663	128760671	9	*	X597	3762	128761313	128787951	26639	+	641	upstream	641	KCNJ5
chr11	129245358	129245420	63	*	X598	8538	129245881	129322174	76294	+	460	upstream	460	BARX2
chr12	6309543	6309568	26	*	X600	928	6309482	6347437	37956	+	0	inside	60	CD9
chr12	6309590	6309648	59	*	X601	928	6309482	6347437	37956	+	0	inside	107	CD9
chr12	12503128	12503177	50	*	X602	54682	12482218	12503169	20952	-	0	overlapStart	0	MANSC1
chr12	13152982	13153003	22	*	X604	50865	13127799	13153243	25445	-	0	inside	239	HEBP1
chr12	13152982	13153003	22	*	X604	93164	13153376	13157764	4389	+	372	upstream	372	HTR7P1
chr12	22488205	22488402	198	*	X606	6489	22346325	22487648	141324	-	556	upstream	556	ST8SIA1
chr12	26277837	26277907	71	*	X607	79365	26272959	26278003	5045	-	0	inside	95	BHLHE41
chr12	26279651	26279716	66	*	X608	79365	26272959	26278003	5045	-	1647	upstream	1647	BHLHE41
chr12	48214026	48214133	108	*	X610	51564	48176507	48213763	37257	-	262	upstream	262	HDAC7
chr12	48214147	48214280	134	*	X611	51564	48176507	48213763	37257	-	383	upstream	383	HDAC7
chr12	49730881	49730918	38	*	X615	338761	49726200	49730971	4772	-	0	inside	52	C1QL4
chr12	49932004	49932047	44	*	X616	23416	49932940	49952077	19138	+	892	upstream	892	KCNH3
chr12	50450968	50451147	180	*	X617	41	50451420	50477405	25986	+	272	upstream	272	ASIC1
chr12	54332174	54332179	6	*	X618	3229	54332576	54340328	7753	+	396	upstream	396	HOXC13
chr12	54332200	54332220	21	*	X619	3229	54332576	54340328	7753	+	355	upstream	355	HOXC13
chr12	54332272	54332342	71	*	X620	3229	54332576	54340328	7753	+	233	upstream	233	HOXC13
chr12	63328846	63328935	90	*	X626	57460	63037763	63328665	290903	-	180	upstream	180	PPM1H
chr12	63328953	63328975	23	*	X627	57460	63037763	63328665	290903	-	287	upstream	287	PPM1H
chr12	64062184	64062242	59	*	X628	283417	63952693	64062354	109662	-	0	inside	111	DPY19L2
chr12	71833306	71833343	38	*	X636	8549	71833550	71980088	146539	+	206	upstream	206	LGR5
chr12	71833362	71833417	56	*	X637	8549	71833550	71980088	146539	+	132	upstream	132	LGR5
chr12	88974471	88974608	138	*	X641	4254	88886570	88974250	87681	-	220	upstream	220	KITLG
chr12	88974693	88974712	20	*	X642	4254	88886570	88974250	87681	-	442	upstream	442	KITLG
chr12	108522915	108522967	53	*	X643	9671	108523511	108644313	120803	+	543	upstream	543	WSCD2
chr12	115122840	115122925	86	*	X645	6926	115108059	115121969	13911	-	870	upstream	870	TBX3
chr13	28543281	28543336	56	*	X648	1045	28536205	28543505	7301	-	0	inside	168	CDX2
chr13	28543370	28543408	39	*	X649	1045	28536205	28543505	7301	-	0	inside	96	CDX2
chr13	51796228	51796263	36	*	X653	220108	51796470	51858377	61908	+	206	upstream	206	FAM124A
chr13	96742302	96742346	45	*	X654	266722	96743093	97491816	748724	+	746	upstream	746	HS6ST3
chr14	23451931	23452205	275	*	X655	84962	23440410	23451848	11439	-	82	upstream	82	AJUBA
chr14	25519012	25519158	147	*	X656	29091	25281306	25519171	237866	-	0	inside	12	STXBP6
chr14	51410995	51411075	81	*	X662	5836	51371935	51411248	39314	-	0	inside	172	PYGL
chr14	51562397	51562441	45	*	X667	114088	51441981	51562422	120442	-	0	overlapStart	0	TRIM9
chr14	51562470	51562623	154	*	X668	114088	51441981	51562422	120442	-	47	upstream	47	TRIM9
chr14	69950610	69950707	98	*	X673	400224	69951471	69995215	43745	+	763	upstream	763	PLEKHD1
chr14	69951069	69951130	62	*	X674	400224	69951471	69995215	43745	+	340	upstream	340	PLEKHD1
chr14	69951350	69951514	165	*	X675	400224	69951471	69995215	43745	+	0	overlapStart	0	PLEKHD1
chr14	75744112	75744112	1	*	X677	2353	75745481	75748937	3457	+	1368	upstream	1368	FOS
chr14	75745613	75745713	101	*	X678	2353	75745481	75748937	3457	+	0	inside	131	FOS
chr14	99738738	99738836	99	*	X689	64919	99635625	99737822	102198	-	915	upstream	915	BCL11B
chr14	100626472	100626519	48	*	X690	123099	100612753	100626012	13260	-	459	upstream	459	DEGS2
chr15	33009935	33009940	6	*	X696	26585	33010205	33026870	16666	+	264	upstream	264	GREM1
chr15	39873336	39873382	47	*	X697	7057	39873280	39889668	16389	+	0	inside	55	THBS1
chr15	40213010	40213069	60	*	X698	11245	40091223	40213093	121871	-	0	inside	23	GPR176
chr15	53082781	53082821	41	*	X702	3175	53049160	53082209	33050	-	571	upstream	571	ONECUT1
chr15	56034885	56034922	38	*	X704	283659	55903739	56035177	131439	-	0	inside	254	PRTG
chr15	63334201	63334214	14	*	X706	7168	63334838	63364113	29276	+	623	upstream	623	TPM1
chr15	79383328	79383342	15	*	X707	5923	79252289	79383215	130927	-	112	upstream	112	RASGRF1
chr15	79384295	79384351	57	*	X708	5923	79252289	79383215	130927	-	1079	upstream	1079	RASGRF1
chr15	90358455	90358529	75	*	X714	290	90328126	90358072	29947	-	382	upstream	382	ANPEP
chr15	90358542	90358558	17	*	X715	290	90328126	90358072	29947	-	469	upstream	469	ANPEP
